1|ba3d saret haja okhra f masirti eni teghramet b 9ira2et l kotob tahdidan kotob l business
2|chouf l haja eli t7ebha w eli yehtajouha laabed w adheka tnajem tkoun feha flous feha mel
3|f kont nheb tadris nes tehtej chkoun ydarsha f kolt aya entalaq ala baraket leh w nabda ndares kbal khdemt khdem okhrin mais meli qrit l kteb hedha kteb howa esmou kayf tajni amwel ta2la mn machrou3k saghir
4|fih khotwat aamaleya awel khotwa ekhtyar l majel f ekhtyar l majel hedheya howa qal ekhtar haja nty behy feha yehtajouha nes hedhy heya l fekra
5|w n9ari w nefrah al lekher k nchouf cha5s makench 3andou ma3louma walet aandou aw kenet maalouma dhababeya wdha7et al lekher aw makench fehem haja kenet aandou sou3oubet shelet qodemou donc nafrah al lekher maaneha fama sa3ada bl injez ghir aadeya
6|w yaarfouha nes eli heya 3elm lmoufid bdit nkari k mohawelet haka kima nqoulou mtaa howet w f l baccalauréat khdhit l amer bjedeya w walit nqari fe3lan bl flous
7|f yaaml l hessa loula blech w yektana3 donc eni nqolou kn maktanaatch l hessa loula adheka blech mjarebha b tbi3tek maaneha makenech qoum ghali barcha leken baad l baccalauréat b aam walit nqari b soum aadi kima l 2asetdha lokhrin
8|bhokem qari qotlk ktob taa buisness m 2éme année secondaire bdit naqra fl kottob taa buisness donc khtaret niche mou3ayna l tadris l aamaleyet tadris w mouch kif l étude laadi
9|l fekra enou khtaret niche eli heya niche taa tlemdha eli mouch behin fl qraya
10|kima qolt meloul nafrah al lekher k ykoun wehed maandouch l maalouma w twali aandou aw yefhemni w kdhe behy hedhy benesba lik kn qarit telmidh behy deja howa 3andou 18 fl math chbech naamlou
11|9arit win noskon donc qriba l lycée zahra
12|f kol blasa nalqa asetdha kbar b asemehom yqariw lycée pilote wela aanhom des parascolaire kbar esemi kbar
13|l mouhit l ahmer eli howa fih tanefous kbir al lekher eqtitel dam loun ahmer dam w lekher loun azraq wahdek tranquille temchi oumourek wadhha
14|fekret l youtube aadnha qesa ama hedha eli kont naaml fih 9bal cest l youtube baad k tkharejt aamlt haja plus ou moin legal maaneha halit mahdhna madraseya jebt maaya asetdha y9ariw
15|donc f sif n7awel n9arih trimestre loula lkol bch yod5ol lel classe fehem la7keya lkol
16|w yarja3li f 3otla te3 decembre ba3d makamel trimestre loula mhm donc n9arih trimester thenya f 3otla adhika
17|fa barcha ness eli y9ariw barcha etude donc 3andou adheka wa9et 5edma 3ala 7seb 3eyla
18|eni benesba leya no93od natba3lek nkasser f rassi wenty mat9olich a3tini exercice e5er hawka mawjoud f 7keya
19|enou mouch b dharoura eli yoslo7li eni yoslo7 l ghiri 5ater f 3orf letude ahna ka business ma3neha
20|Enou eli ya3mel seriet mzayna akther aw yatba3 akther w yrata7 tlemdha w yatb3elhom b couleur w lkol adheka 5ir
21|ken fama b7ar nemchiw ba7dhena sid 3abd hmid, donc em ken fama ness testad toubou adheka w tbi3
22|9ra m3aya we7ed f 9esm weld 7ouma howa yoskon 3al b7ar b dhabet 3arafni 3al majel w ybi3
23|donc ne5dou dabouza bou itra n3abiyouha b doud w nbi3oulou akika
24|w nbi3ou kont fournisseur el assassi te3 soussa w mestir te3 doud hadheya fa ken nhar 50 dinar adheya 3adeya 3ale5er
25|donc el fekra enou k mchit lel Mestir l9ithom 3amlin faza makontech na3rafha enou ychay7ou doud w ybi3ouh cheya7
26|9am sbe7 3mal doura 93ad f 9ahwa 9ra kteb
27|i9ama eli 9a3edha f Asia 9al famech nhar najem nosrof akther meli nda5el
28|w maghroum b ktob tghayer el 7ayet ness eli ta9ra ktob ta3ref eli ktob tghayer 7yet tamaman
29|k 9ra ktob 9al 9al kima 7yeti tghayret lel afdhel n7awel nla5es ktob adhoukoim w nbadel 7yet 3bed
30|el 3am fih 52 osbou3 9alek nla5es  52 kteb w n7othom fa bde jem3a loula donc l9a tal5is as3eb meli ken yetsawrou w howa ken ya9ra okay f jem3a kteb laken tal5is 3mal 36 kteb l3am loul
31|adhouma des sujets mouhemin 3ale5er duree de vie te3hom twil awel haja 9al e5tar yhemou la3bed
32|l3am adheya fama ness maghrouma b business fama ness mata3rafch business aslan 3am jey bch yetgharmou ness o5rin b business donc bch yal9awk mawjoud
33|k yrabi 9atouss w yetelha bih w lkol w ysawer ro7ou b camera w hyabet videoet kol mayet3alem haja f tarbiyet 9tatess ya3mlha
34|chyalkaw podcast mte3ek fama menou fl hkeya hedhya fl digital
35|w hke ala technique de vente w kol chy lmoufid lfekra mte3ou enou
36|kal l blogging ekhdem blech flous haja de qualité
37|w ok3ed 3 snin tekhdem fl hkeya hedhy 
38|lahkeya hedhy tkhali aandk jomhour kbir al lekher w tkhali kima taaml branding saa
39|taamlk thiqa aand laabed l anou ases aamalyet l bay3 heya thiqa
40|leken yahki ala enou tkoun amin tkoun sadaq maahom kenek nty mzlt bedi fl majel
41|tqoul rani mzlt bedi fl majel qa3ed netaalem w tkoun sadaq maahom oui
42|w ahna k moslmin lahkeyet hedhouma f dina mawjoudin donc ylzm tkoun sadaq maa nes
43|f khdhit l fekra mte3ou qolt behy eni chnowa naaml f deneya hani qa3ed nqari 
44|houma tlemdha te3bin fl qraya donc yehtejou des videos rappel
45|donc aamlt l videot hedhokom hakom format format numérique aandhom jomhour motajaded w kol
46|w lghaya enou naaml haja de qaulité dhet jawda w noq3ed aam naamlha blech
47|k bdit aajbetni lahkeya al lekher ml videot loula dharbet al lekher
48|nes kalek fadhitli mochkla kbira al lekher
49|qbal manaadi devoir l physique b lila qolt aya khanaaml tala ala fama faza f exercice l pile manich fehmha
50|k bdit 2013 donc bdit nqari semestre 2 w 3 donc makhltch nty al loula donc aad baad rjaat qarithom loula 
51|leken l fekra mathalan fl physique wehed te3eb fl physique chtqolou chouf l physique howa phenoméne yaani mouch kif l math
52|chapitre aandhom esmou rc resistor aandhom w condensateur donc akid bch yjiblk r w c mayjiblek l pila lahkit aaleha nty bch yjiblek pila
53|chapitre esmou pila bch yjiblk pila w l pila maaroufa feha 2 compartiments behy maaneha rw fl physique k matjibch note ena manefhmhech.
54|l exercice eli bch yjibhoulek fl bac eni naarfou hani bch naatihoulek twa, naatihoulek twa ahfdhou hotou maaneha aandi aandi devoir.
55|heya l fekra sehla phenoméne,ylzmk taarf tajerba,eli bch noq3ed nahkilk aaleha ena,taarf tajerba w taarf les questions.
56|tqolou asmaani chnhafdhek 4 hajet edhokom bch yjiwik f devoir naarfou devoir rw tahkich maaya naarfou devoir,donc w ve3lan yjiwih f devoir w ysalek omourou.
57|donc khdhit klemou tabaqt harfeyan maa l videot,sajalt 3000 videos.behy l fatra loula eli heya khatert bdit wost laam deja mongaji rouhi f des groupes.
58|donc kameltha bl les groupes hedhokoum ,leken laam eli baadou 3ejbtni lahkeya.
59|kamelt laam eli baadou batelt kol mahou etude face a face, yaani qotlk kont nqari f sif.
60|w yjiwni groupet f sif,f k aamlt chaine f wost laam kont nqari f hamem soussa f aarfouni l ahwez lkol yaani.
61|eli bch nqoulhomlek bl flous hwka qolthomlek blech al internet.w eni l fekra mte3i kima qal sahbna hedha olivier,kal, kal enou a3ti ahsen maandek w blech flous.
62|l fekra enou tebni thiqa khtr baad k nes 3tat fik thiqa tnajem tbi3 ay hkeya baad,w hedhika l fekra laama.
63|donc ena hachti, kol eli naarfou hatitou blech, w hedhy momken ghriba chwya al mostama3 maaneha,kifech kol taarfou,khtr wehed aandhom fih thi9a yqolhom khoudhou hedhy sada9 maahom.
64|w baghla flous,yekhdhouha,bainama wehed maandhomch fih thi9a k yaatehom haja aqal flous al lekher maymchouch maah,donc l buisness mebni ala thi9a.voila w heya kenet l fekra akeka maaneha
65|w hani kont nabaathch blech montage,naarch chmaaneha montage,donc aandi tablette qodemi nsajel w nhabet nsajel w nhabet
66|aandna wehed ybi3 fl khodhra yetaada dima qodem dar,nhesou dekhel f wost taqrib f wost l videot lkol
67|mouch nji naati chtar maalouma, w nqolhom hayka thebou tkamlouha hayka talkawha bl flous.
